NU_ANO_CENSO|CO_ENTIDADE|NO_ENTIDADE|CO_ORGAO_REGIONAL|TP_SITUACAO_FUNCIONAMENTO|DT_ANO_LETIVO_INICIO|DT_ANO_LETIVO_TERMINO|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|CO_ESCOLA_SEDE_VINCULADA|CO_IES_OFERTANTE|TP_REGULAMENTACAO|IN_LOCAL_FUNC_PREDIO_ESCOLAR|TP_OCUPACAO_PREDIO_ESCOLAR|IN_LOCAL_FUNC_SALAS_EMPRESA|IN_LOCAL_FUNC_SOCIOEDUCATIVO|IN_LOCAL_FUNC_UNID_PRISIONAL|IN_LOCAL_FUNC_PRISIONAL_SOCIO|IN_LOCAL_FUNC_TEMPLO_IGREJA|IN_LOCAL_FUNC_CASA_PROFESSOR|IN_LOCAL_FUNC_GALPAO|TP_OCUPACAO_GALPAO|IN_LOCAL_FUNC_SALAS_OUTRA_ESC|IN_LOCAL_FUNC_OUTROS|IN_PREDIO_COMPARTILHADO|IN_AGUA_FILTRADA|IN_AGUA_REDE_PUBLICA|IN_AGUA_POCO_ARTESIANO|IN_AGUA_CACIMBA|IN_AGUA_FONTE_RIO|IN_AGUA_INEXISTENTE|IN_ENERGIA_REDE_PUBLICA|IN_ENERGIA_GERADOR|IN_ENERGIA_OUTROS|IN_ENERGIA_INEXISTENTE|IN_ESGOTO_REDE_PUBLICA|IN_ESGOTO_FOSSA|IN_ESGOTO_INEXISTENTE|IN_LIXO_COLETA_PERIODICA|IN_LIXO_QUEIMA|IN_LIXO_JOGA_OUTRA_AREA|IN_LIXO_RECICLA|IN_LIXO_ENTERRA|IN_LIXO_OUTROS|IN_SALA_DIRETORIA|IN_SALA_PROFESSOR|IN_LABORATORIO_INFORMATICA|IN_LABORATORIO_CIENCIAS|IN_SALA_ATENDIMENTO_ESPECIAL|IN_QUADRA_ESPORTES_COBERTA|IN_QUADRA_ESPORTES_DESCOBERTA|IN_QUADRA_ESPORTES|IN_COZINHA|IN_BIBLIOTECA|IN_SALA_LEITURA|IN_BIBLIOTECA_SALA_LEITURA|IN_PARQUE_INFANTIL|IN_BERCARIO|IN_BANHEIRO_FORA_PREDIO|IN_BANHEIRO_DENTRO_PREDIO|IN_BANHEIRO_EI|IN_BANHEIRO_PNE|IN_DEPENDENCIAS_PNE|IN_SECRETARIA|IN_BANHEIRO_CHUVEIRO|IN_REFEITORIO|IN_DESPENSA|IN_ALMOXARIFADO|IN_AUDITORIO|IN_PATIO_COBERTO|IN_PATIO_DESCOBERTO|IN_ALOJAM_ALUNO|IN_ALOJAM_PROFESSOR|IN_AREA_VERDE|IN_LAVANDERIA|IN_DEPENDENCIAS_OUTRAS|QT_SALAS_EXISTENTES|QT_SALAS_UTILIZADAS|IN_EQUIP_TV|IN_EQUIP_VIDEOCASSETE|IN_EQUIP_DVD|IN_EQUIP_PARABOLICA|IN_EQUIP_COPIADORA|IN_EQUIP_RETROPROJETOR|IN_EQUIP_IMPRESSORA|IN_EQUIP_IMPRESSORA_MULT|IN_EQUIP_SOM|IN_EQUIP_MULTIMIDIA|IN_EQUIP_FAX|IN_EQUIP_FOTO|IN_COMPUTADOR|QT_EQUIP_TV|QT_EQUIP_VIDEOCASSETE|QT_EQUIP_DVD|QT_EQUIP_PARABOLICA|QT_EQUIP_COPIADORA|QT_EQUIP_RETROPROJETOR|QT_EQUIP_IMPRESSORA|QT_EQUIP_IMPRESSORA_MULT|QT_EQUIP_SOM|QT_EQUIP_MULTIMIDIA|QT_EQUIP_FAX|QT_EQUIP_FOTO|QT_COMPUTADOR|QT_COMP_ADMINISTRATIVO|QT_COMP_ALUNO|IN_INTERNET|IN_BANDA_LARGA|QT_FUNCIONARIOS|IN_ALIMENTACAO|TP_AEE|TP_ATIVIDADE_COMPLEMENTAR|IN_FUNDAMENTAL_CICLOS|TP_LOCALIZACAO_DIFERENCIADA|IN_MATERIAL_ESP_QUILOMBOLA|IN_MATERIAL_ESP_INDIGENA|IN_MATERIAL_ESP_NAO_UTILIZA|IN_EDUCACAO_INDIGENA|TP_INDIGENA_LINGUA|CO_LINGUA_INDIGENA|IN_BRASIL_ALFABETIZADO|IN_FINAL_SEMANA|IN_FORMACAO_ALTERNANCIA|IN_MEDIACAO_PRESENCIAL|IN_MEDIACAO_SEMIPRESENCIAL|IN_MEDIACAO_EAD|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|IN_COMUM_CRECHE|IN_COMUM_PRE|IN_COMUM_FUND_AI|IN_COMUM_FUND_AF|IN_COMUM_MEDIO_MEDIO|IN_COMUM_MEDIO_INTEGRADO|IN_COMUM_MEDIO_NORMAL|IN_ESP_EXCLUSIVA_CRECHE|IN_ESP_EXCLUSIVA_PRE|IN_ESP_EXCLUSIVA_FUND_AI|IN_ESP_EXCLUSIVA_FUND_AF|IN_ESP_EXCLUSIVA_MEDIO_MEDIO|IN_ESP_EXCLUSIVA_MEDIO_INTEGR|IN_ESP_EXCLUSIVA_MEDIO_NORMAL|IN_COMUM_EJA_FUND|IN_COMUM_EJA_MEDIO|IN_COMUM_EJA_PROF|IN_ESP_EXCLUSIVA_EJA_FUND|IN_ESP_EXCLUSIVA_EJA_MEDIO|IN_ESP_EXCLUSIVA_EJA_PROF|IN_COMUM_PROF|IN_ESP_EXCLUSIVA_PROF
2018|43209688|ESCOLA DE EDUCACAO INFANTIL BEIJA-FLOR|1|1|01/03/2018|24/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|1|1|1|1|1|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|7|6|0|0|1|0|0|0|0|1|1|1|0|1|1|0|0|1|0|0|0|0|1|1|1|0|1|2|2|0|0|NA|10|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43209718|ESC EDUC INF REDENCAO|1|1|01/03/2018|20/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|1|1|1|1|1|1|1|0|1|1|1|1|1|0|0|1|0|0|0|1|0|0|5|5|1|0|1|0|1|0|1|0|0|0|0|0|1|2|0|3|0|1|0|1|0|0|0|0|0|1|1|0|1|1|7|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43209734|CENTRO EDUCACIONAL DESENVOLVER LTDA|1|1|02/01/2018|30/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|0|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|0|1|0|0|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|1|1|1|0|0|0|1|0|0|0|0|0|5|3|1|1|1|0|0|0|1|0|1|0|0|0|1|2|1|1|0|0|0|1|0|2|0|0|0|2|1|1|1|1|7|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43209742|COLORINDO O AMANHA|1|1|02/01/2018|22/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|2|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|1|0|1|1|1|0|1|1|1|1|0|1|1|0|1|0|1|1|0|0|1|1|0|5|4|1|0|1|0|1|0|1|1|1|0|0|0|1|1|0|1|0|1|0|1|1|3|0|0|0|1|1|0|1|1|12|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43107460|COLEGIO BOM JESUS SAO LUIZ|1|2|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43191495|UM MUNDO ENCANTADO|1|3|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43009301|EEI HOTELZINHO - ABERTA DOS MORROS|1|3|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43046371|EEI SONHO MEU|1|2|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43210317|INST EDUC INF LOVE KIDS LTDA|1|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43210333|KIDSTOP ESC EDUC INF LTDA|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43210376|ESC EDUC INF CANTINHO DAS CRIANCAS|1|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43210384|ESC EDUC INF DIA FELIZ|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209483|COLEGIO CONCLUSAO|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209530|CAZON - CENTRO ABRIGADO ZONA NORTE|NA|4|||4|4305|43026|43|4314902|431490205|2|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209670|INST EDUC INF RECANTO CORACAO DE MAE|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209696|ESC EDUC INF TIA LIDIA|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209700|PRIMA INFANZIA ESC EDUC INF LTDA|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209831|ESC EDUC INF MAGIA E SABER|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43182224|ESCOLA DE ENSINO FUNDAMENTAL DA PONTE|NA|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43296122|ESC EDUC INF NAVEGAR|1|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43296165|ESC EDUC INF DOCE INFANCIA|1|4|||4|4305|43026|43|4314902|431490205|4|1|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA|NA
2018|43209823|ESCOLA EDUCACAO INFANTIL ESPACO FELIZ LTDA-ME|1|1|02/01/2018|30/12/2018|4|4305|43026|43|4314902|431490205|4|1|1|0|NA|1|0|0|0|0|NA|NA|1|1|2|0|0|0|0|0|0|0|NA|0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|1|0|0|0|0|0|1|1|0|1|1|1|0|1|1|1|1|1|1|0|0|0|0|0|1|0|0|0|1|0|7|7|1|0|1|0|0|0|0|1|1|0|0|0|1|2|0|1|0|0|0|0|1|8|0|0|0|5|2|3|1|1|20|0|0|0|NA|0|0|0|1|0|NA|NA|0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2018|43210805|ESC EDUC ESPECIAL BARBARA SYBILLE FISCHINGER|1|1|14/02/2018|21/12/2018|4|4305|43026|43|4314902|431490205|4|1|4|1|3|1|1|0|0|1|NA|NA|1|1|1|0|0|0|0|0|0|0|NA|0|1|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|1|1|0|1|1|0|1|1|1|1|1|1|1|1|0|0|1|1|1|0|0|0|0|0|11|11|1|1|1|0|1|0|1|1|1|1|1|1|1|3|1|2|0|2|0|1|2|13|3|1|2|21|18|3|1|1|25|0|0|0|1|0|0|0|1|0|NA|NA|0|0|0|1|0|0|1|1|1|0|0|0|0|0|0|0|0|0|1|1|0|0|0|0|0|0|0|1|0|0|0|0
